"Aldersgrense","Første gang sendt","Lengde","Originaltittel","Produksjonsår","Siste gang sendt","Tilgjengelig fra","Tilgjengelig i","Tilgjengelig til","description","src","title","url"
"A","NRK1 · Fredag 31. mai 1991 kl. 01","29 minutter","""Q"" - Bendik Hofseth 2","1991","NRK1 · Fredag 31. mai 1991 kl. 01","23. juli 2015 kl. 05","Verden","Alltid tilgjengelig","Musikkprogram","https://gfx.nrk.no/F7uqCbN_wlKtL6bKOnjzjQS2oF8_34qaLULbFstqDZqw","""Q"" - Bendik Hofseth","https://tv.nrk.no/serie/q-bendik-hofseth"
"12+","NRK2 · Torsdag 23. september 2021 kl. 23","41 minutter","QAnon","2021","NRK2 · Mandag 21. august 2023 kl. 01","13. september 2021 kl. 06","Norge","31. august 2023 kl. 23","Kryptiske meldinger fra nettprofilen Q gir næring til ville konspirasjonsteorier. De blomstrer ennå i noen miljøer, og gjerne blant Trump-tilhengere.","https://gfx.nrk.no/Slpzo8WD6mdTF5JeDvHiMgJXQgiv72XzX_lvdRL0xvSQ","QAnon","https://tv.nrk.no/serie/qanon"
"A","NRK1 · Torsdag 3. juli 1986 kl. 02","16 minutter","Qigong - kinesisk sirkus og naturmedisin","","NRK1 · Torsdag 3. juli 1986 kl. 02","30. juli 2015 kl. 05","Verden","Alltid tilgjengelig","","https://gfx.nrk.no/WknNmkUBQEndSq4rwJtZhg96MXQngCufNG4KYXIXIqAw","Qigong - kinesisk sirkus og naturmedisin","https://tv.nrk.no/program/FNYH70003386"
"A","NRK1 · Torsdag 4. januar 1990 kl. 01","50 minutter","Quark","","NRK1 · Torsdag 4. januar 1990 kl. 01","5. mai 2023 kl. 00","Verden","Alltid tilgjengelig","","https://gfx.nrk.no/LNkNIS1gjE4ZDMRQ4gilTwWk02XU0RtokW8lPdrhzmuw","Quark","https://tv.nrk.no/program/FBUA04005489"
"A","NRK1 · Søndag 5. januar 1992 kl. 01","15 minutter","Quattro Stagioni i Trondenes kirke","","NRK1 · Søndag 5. januar 1992 kl. 01","9. oktober 2015 kl. 05","Verden","Alltid tilgjengelig","","https://gfx.nrk.no/VBAinyjg_-41yGj6dKiOSQVZdBvbiU9b2LjBHGnWo9cA","Quattro Stagioni i Trondenes kirke","https://tv.nrk.no/program/FTRO50001191"
"A","NRK1 · Onsdag 14. oktober 2009 kl. 23","24 minutter","2009","NRK1 · Lørdag 17. oktober 2009 kl. 12","25. august 2022 kl. 00","Verden","Alltid tilgjengelig","Gruppa Queendom er på turné når et av medlemmene blir tilbudt en rolle som programleder på TV. Humorserie laget i forbindelse med TV-aksjonen i 2009.","https://gfx.nrk.no/X5G6T11QC99pbRo7c8-7EgXCaP9rguslfR-MbOs_CvEA","Queendom","https://tv.nrk.no/serie/queendom"
"A","NRK1 · Søndag 13. november 2016 kl. 21","59 minutter","2016","NRK2 · Mandag 14. november 2016 kl. 13","13. november 2016 kl. 20","Verden","Alltid tilgjengelig","Underholdningsprogram. I QuizDan skal ungdomslag og seniorlag fra 18 norske byer kjempe om hvem som er best på Quiz i Norge. Programleder Dan Børge Akerø byr på musikkartister, stand-up og mange overraskelser og ikke minst kunnskap når vi kårer Norges smarteste by.","https://gfx.nrk.no/rYopY2QKEaM87NScU5dJsQWJVcSIBXmECvPlVRucmj7Q","QuizDan","https://tv.nrk.no/serie/quizdan"
"A","NRK2 · Lørdag 24. januar 1998 kl. 23","29 minutter","XLTV","1998","NRK2 · Lørdag 24. januar 1998 kl. 23","2. januar 2013 kl. 05","Verden","Alltid tilgjengelig","Middelmådigheter fra P3s radiostudio. Et program sånn skikkelig midt på treet.","https://gfx.nrk.no/kObxWd59mF0HM3W97h3itAhUQfk16LdJTvdC85Q5HsKA","XLTV","https://tv.nrk.no/serie/xltv"
"A","NRK2 · Søndag 28. desember 1997 kl. 20","59 minutter","XS Sport Kavalkade","1997","NRK2 · Søndag 28. desember 1997 kl. 20","21. september 2023 kl. 06","Verden","Alltid tilgjengelig","Underholdningsprogram om nytelse, kultur, trender og sport.","https://gfx.nrk.no/M8oPg2YrQb5Uljl_nUKsXAbYmKJKr8acqCVnKqsx-3-w","XS","https://tv.nrk.no/serie/xs"
"9+","NRK2 · Torsdag 21. mai 1998 kl. 00","19 minutter","XS musikk","1998","NRK2 · Torsdag 21. mai 1998 kl. 00","6. oktober 2023 kl. 06","Verden","Alltid tilgjengelig","Et rent musikkvideoprogram uten heseblesende programledere.","https://gfx.nrk.no/0HruERXs0smkUkGGZBv53gd6nVifrnMOGbJDWMxiLybA","XS Musikk","https://tv.nrk.no/serie/xs-musikk"
"6+","NRK1 · Fredag 28. november 1997 kl. 23","30 minutter","1997","NRK1 · Fredag 28. november 1997 kl. 23","11. oktober 2022 kl. 00","Verden","Alltid tilgjengelig","Blindt møte med Petter Nome.","https://gfx.nrk.no/33VnbBE6Ugc36Og4Inb7-AevC-B2sNW3A1BLPyYRqUAg","XYZ","https://tv.nrk.no/serie/xyz"
