"title","url"
"""Aftenen er stille""","https://tv.nrk.no/program/FOLA03009576"
"""Aldri uten en tråd""","https://tv.nrk.no/program/FREP01005770"
"""Atomen"" i Halden - trussel eller sikkerhet?","https://tv.nrk.no/program/F%C3%98ST70001294"
"""Av et godt hjerte""","https://tv.nrk.no/program/FBUA69001369"
"A 4","https://tv.nrk.no/program/FOLA04006872"
"A cappella","https://tv.nrk.no/serie/a-cappella"
"Aargang 1880","https://tv.nrk.no/serie/aargang-1880"
"Aargang 1881","https://tv.nrk.no/serie/aargang-1881"
"Aargang 1882","https://tv.nrk.no/serie/aargang-1882"
"Aargang 1885","https://tv.nrk.no/serie/aargang-1885"
"Aargang 1886","https://tv.nrk.no/serie/aargang-1886"
"Aase Nordmo Løvberg - 40 år på sangens vinger","https://tv.nrk.no/program/FTRO00001286"
"Aasmund Olavsson Vinje og Rondane","https://tv.nrk.no/program/FOLA64012864"
"ABC med Zook","https://tv.nrk.no/serie/abc-med-zook"
"Abels tårn","https://tv.nrk.no/serie/abels-taarn"
"Abort - og kvinnens rett til selv å bestemme","https://tv.nrk.no/program/FOLA01005470"
"Abortdebatt i Stortinget","https://tv.nrk.no/program/FNYH78003978"
"Absolutt","https://tv.nrk.no/serie/absolutt"
"Absolutt norsk","https://tv.nrk.no/serie/absolutt-norsk"
"Accident","https://tv.nrk.no/program/KOID60007221"
"Accordeon - noe mer enn et trekkspill?","https://tv.nrk.no/program/FMUS00002274"
"Ad Lib","https://tv.nrk.no/serie/ad-lib"
"Adams Eva","https://tv.nrk.no/serie/adams-eva"
"Adamseplene: Full pupp","https://tv.nrk.no/serie/adamseplene-full-pupp"
"Adresse Oslo","https://tv.nrk.no/serie/adresse-oslo"
"Adrian og broen","https://tv.nrk.no/program/FBUA02000987"
"Advent","https://tv.nrk.no/serie/advent"
"Advent (1973)","https://tv.nrk.no/serie/advent-serie-1"
"Advent (1977)","https://tv.nrk.no/serie/advent-1977"
"Advent i ord og toner","https://tv.nrk.no/serie/advent-i-ord-og-toner"
"Advent i prestegarden","https://tv.nrk.no/serie/advent-i-prestegarden"
"Advent med Kor De Ville","https://tv.nrk.no/serie/advent-med-kor-de-ville"
"Adventskort","https://tv.nrk.no/serie/adventskort"
"Adventslekene","https://tv.nrk.no/serie/adventslekene"
"Adventssøndager","https://tv.nrk.no/serie/adventssoendager"
"Adventstid","https://tv.nrk.no/serie/adventstid"
"Adventstund","https://tv.nrk.no/serie/adventstund"
"AF1","https://tv.nrk.no/serie/af1"
"Afghanistan i mitt hjerte","https://tv.nrk.no/program/FBUA60002889"
"Afrika (1966)","https://tv.nrk.no/serie/afrika-1966"
"Afrika (1967)","https://tv.nrk.no/serie/afrika-1967"
"Afrikansk film og teater","https://tv.nrk.no/serie/afrikansk-film-og-teater"
"Afrikansk leder i nærbilde","https://tv.nrk.no/program/FOLA67008667"
"Afrikansk stevnemøte med nordiske trekkfugler","https://tv.nrk.no/program/FREP41002681"
"Aftenlandet","https://tv.nrk.no/program/FPLO00000393"
"Agenda","https://tv.nrk.no/serie/agenda"
"Agn på kroken - men hvor lenge?","https://tv.nrk.no/program/FOLA01007675"
"Agnete jienáda/Agnete bruker stemmen","https://tv.nrk.no/serie/agnete-jienada"
"Agrovisjonen","https://tv.nrk.no/serie/agrovisjonen"
"a-ha - norsk pop på verdenstoppen","https://tv.nrk.no/program/FUHA04007286"
"a-ha spesial","https://tv.nrk.no/program/FUHA04008587"
"A-ha: Østenfor sol vestenfor måne","https://tv.nrk.no/program/FUHA02005091"
"Ahmed og Team Physix","https://tv.nrk.no/serie/ahmed-og-team-physix"
"Akademiet","https://tv.nrk.no/serie/akademiet"
"Akademisk sølvbryllup - UiTø 25 år","https://tv.nrk.no/program/FTRO18000093"
"Akershus slott og festning gjennom 700 år","https://tv.nrk.no/serie/akershus-slott-og-festning-gjennom-700-aar"
"Akka sjing - za za za","https://tv.nrk.no/program/FBUA07003770"
"Akkurat nå","https://tv.nrk.no/serie/akkurat-naa"
"Aklowa - dansere og trommeslagere fra Ghana","https://tv.nrk.no/program/FMUS00004579"
"Aksel på Fugleøykalven","https://tv.nrk.no/program/FOLA01004971"
"Aksjemordet","https://tv.nrk.no/serie/aksjemordet"
"Aksjon Menneskeverd 94","https://tv.nrk.no/serie/aksjon-menneskeverd-94"
"Aktuell debatt","https://tv.nrk.no/serie/aktuell-debatt"
"Aktuelt - TV","https://tv.nrk.no/serie/aktuelt-tv"
"Aktuelt (barn)","https://tv.nrk.no/serie/aktuelt-barn"
"Aktuelt for hørselshemmede","https://tv.nrk.no/serie/aktuelt-for-hoerselshemmede"
"Aktuelt for og om døve","https://tv.nrk.no/serie/aktuelt-for-og-om-doeve"
"Aktuelt for ungdom","https://tv.nrk.no/program/FBUA07001371"
"Aktuelt om havet","https://tv.nrk.no/serie/aktuelt-om-havet"
"Aktuelt om konflikter","https://tv.nrk.no/serie/aktuelt-om-konflikter"
"Akvareller","https://tv.nrk.no/program/FMUS00006778"
"Alarm Trolltunga","https://tv.nrk.no/program/MDDP12000117"
"Alarmtelefonen","https://tv.nrk.no/program/MSUM02901020"
"Alaska - TV","https://tv.nrk.no/serie/alaska-tv"
"Albania går fortsatt sin egen vei","https://tv.nrk.no/program/FNYH70001182"
"Albert Joleik fra Sunnfjord","https://tv.nrk.no/program/FOLA65000865"
"Albertine","https://tv.nrk.no/program/FOLA01007387"
"Albertville","https://tv.nrk.no/serie/albertville"
"Aldri alene","https://tv.nrk.no/program/FOPP00000590"
"Aldri for gammel","https://tv.nrk.no/program/SAPR67002212"
"Aldri i livet!","https://tv.nrk.no/serie/aldri-i-livet"
"Aldri mer 9. april","https://tv.nrk.no/program/FNYH70000280"
"Aldri på en lørdag","https://tv.nrk.no/serie/aldri-paa-en-loerdag"
"Aldrig har Ishavet fanget slik storfangst - Nils Vollan","https://tv.nrk.no/program/FOLA02003076"
"Aleine på Raunøy","https://tv.nrk.no/program/FHLD00003087"
"Aleksander Zinovjev - russisk forfatter i landflyktighet","https://tv.nrk.no/program/FOLA03006380"
"Alene over Nordsjøen","https://tv.nrk.no/program/DVFO30005315"
"Alene til Sydpolen","https://tv.nrk.no/program/FALM08001093"
"Alex","https://tv.nrk.no/program/FUHA01000378"
"Alex Rosén, programleder","https://tv.nrk.no/serie/alex-rosen-programleder"
"Alexander Dale Oen - mannen fra Øygarden","https://tv.nrk.no/program/MSPO16050112"
"Alexander L. Kielland - ett år etter","https://tv.nrk.no/program/FREP41004481"
"Alexander Rybak: Hello Europe!","https://tv.nrk.no/program/MUHU24005018"
"Alf Bøe - en idrettslegende på nitti","https://tv.nrk.no/program/FHLD00005293"
"Alf Cranner formidler allmuens røst","https://tv.nrk.no/program/FUHA03000972"
"Alf Prøysen 100 år","https://tv.nrk.no/program/MKMF20000014"
"Alf Prøysens liv og diktning","https://tv.nrk.no/serie/alf-proeysens-liv-og-diktning"
"Alfred Maurstad - med fant og fanitullen","https://tv.nrk.no/program/FKUR08000196"
"Alias Rolf Just Nilsen","https://tv.nrk.no/program/FUHA00005072"
"Alise danser","https://tv.nrk.no/program/FUHA02007783"
"Alke","https://tv.nrk.no/serie/alke"
"Alkohol (1979)","https://tv.nrk.no/serie/alkohol-1979"
"Alkohol i Norden","https://tv.nrk.no/serie/alkohol-i-norden"
"Alle barna går på skole","https://tv.nrk.no/program/FSTL74001093"
"Alle de duggvåte blomster","https://tv.nrk.no/program/FUHA00000272"
"Alle dører åpne","https://tv.nrk.no/program/FAKU70006391"
"Alle er musikalske","https://tv.nrk.no/program/FMUS00002273"
"Alle har rett til kunst","https://tv.nrk.no/program/FOLA01009277"
"Alle hus kan ha råteskade","https://tv.nrk.no/program/FOLA02002770"
"Alle mot 1","https://tv.nrk.no/serie/alle-mot-1"
"Alle sammen sammen","https://tv.nrk.no/serie/alle-sammen-sammen"
"Alle tiders Henki","https://tv.nrk.no/program/OCHS32000308"
"Alle tiders reklame","https://tv.nrk.no/serie/alle-tiders-reklame"
"Alle treng vi våre røter","https://tv.nrk.no/program/FOLA04003177"
"Alle vet","https://tv.nrk.no/program/MSUI22007022"
"Allehelgensgudstjeneste fra Malangen kirke","https://tv.nrk.no/program/DNRR67000018"
"Aller kjæresten min","https://tv.nrk.no/program/FSKO00008875"
"Allerud VGS","https://tv.nrk.no/serie/allerud-vgs"
"Allsang","https://tv.nrk.no/program/FUHA00001775"
"Alltid fattig?","https://tv.nrk.no/program/FHLD00001092"
"Alltid foran - øker mest","https://tv.nrk.no/program/DTRF75008095"
